pop_id,role,current_street,current_city,current_state,current_address_number,full_current_address
POP_S_7315039,Student,J St,Eureka,CA,7917,"7917 J St Eureka, CA"
POP_S_4194026,Student,Bates Rd,Mckinleyville,CA,1845,"1845 Bates Rd Mckinleyville, CA"
POP_S_4662231,Student,H St,Eureka,CA,8466,"8466 H St Eureka, CA"
POP_S_4654016,Student,Broadway St,Eureka,CA,4132,"4132 Broadway St Eureka, CA"
POP_S_2112110,Student,G St,Arcata,CA,8337,"8337 G St Arcata, CA"
POP_S_6276986,Student,K St,Eureka,CA,6727,"6727 K St Eureka, CA"
POP_S_8719581,Student,Heartwood Dr,Mckinleyville,CA,7492,"7492 Heartwood Dr Mckinleyville, CA"
POP_S_2414010,Student,Central Ave,Mckinleyville,CA,7836,"7836 Central Ave Mckinleyville, CA"
POP_S_6286266,Student,Spears Rd,Arcata,CA,1675,"1675 Spears Rd Arcata, CA"
POP_S_6228097,Student,Hiller Rd,Mckinleyville,CA,9522,"9522 Hiller Rd Mckinleyville, CA"
POP_S_7023735,Student,Broadway St,Eureka,CA,5038,"5038 Broadway St Eureka, CA"
POP_S_2880986,Student,G St,Arcata,CA,442,"442 G St Arcata, CA"
POP_S_4770292,Student,Alliance Rd,Arcata,CA,9115,"9115 Alliance Rd Arcata, CA"
POP_S_6830775,Student,Alliance Rd,Arcata,CA,6600,"6600 Alliance Rd Arcata, CA"
POP_S_5769569,Student,Q St,Arcata,CA,4446,"4446 Q St Arcata, CA"
POP_S_6877850,Student,Baldwin St,Arcata,CA,7456,"7456 Baldwin St Arcata, CA"
POP_S_6413414,Student,Lk Wood Blvd,Arcata,CA,5161,"5161 Lk Wood Blvd Arcata, CA"
POP_S_8297154,Student,Wabash Ave,Eureka,CA,6767,"6767 Wabash Ave Eureka, CA"
POP_S_8903984,Student,Murray Rd,Mckinleyville,CA,7959,"7959 Murray Rd Mckinleyville, CA"
POP_S_4891745,Student,14Th St,Arcata,CA,9678,"9678 14Th St Arcata, CA"
POP_S_5138664,Student,Lk Wood Blvd,Arcata,CA,2260,"2260 Lk Wood Blvd Arcata, CA"
POP_S_8398477,Student,6Th St,Eureka,CA,3473,"3473 6Th St Eureka, CA"
POP_S_3341992,Student,Main St,Fortuna,CA,4540,"4540 Main St Fortuna, CA"
POP_S_7733838,Student,Alliance Rd,Arcata,CA,7341,"7341 Alliance Rd Arcata, CA"
POP_S_2244793,Student,6Th St,Eureka,CA,6002,"6002 6Th St Eureka, CA"
POP_S_7940193,Student,Broadway St,Eureka,CA,3534,"3534 Broadway St Eureka, CA"
POP_S_5468255,Student,Taylor Way,Blue Lake,CA,215,"215 Taylor Way Blue Lake, CA"
POP_S_9052375,Student,11Th St,Arcata,CA,9007,"9007 11Th St Arcata, CA"
POP_S_8928336,Student,Broadway St,Eureka,CA,1257,"1257 Broadway St Eureka, CA"
POP_S_7451474,Student,Hiller Rd,Mckinleyville,CA,8485,"8485 Hiller Rd Mckinleyville, CA"
POP_S_6533000,Student,South Rail St,Blue Lake,CA,2555,"2555 South Rail St Blue Lake, CA"
